ElectronicDevices,ElectronicDevices_Duration,Groceries,Groceries_Duration,SportsRelated,Sports_Equipments_Duration,Bounce_Rates,Special_Day,Month,Browser,Region,Type_of_visitor,Weekend,Purchase_made
0,0,0,0,3,22,0,0.6,May,Mozilla,3,Old_Visitor,false,false
0,0,0,0,15,310.1666667,0,0,May,Mozilla,4,Old_Visitor,false,false
0,0,0,0,2,34,0,0.4,May,Edge,2,Old_Visitor,false,false
0,0,0,0,4,88,0,0,May,Mozilla,1,Old_Visitor,false,false
0,0,0,0,22,622.25,0.003030303,0.2,May,Chrome,1,Old_Visitor,false,false
0,0,0,0,14,222.4,0.017142857,0,May,Mozilla,1,Old_Visitor,false,false
0,0,0,0,3,80,0.066666667,0.2,May,Edge,1,Old_Visitor,false,false
0,0,0,0,11,800.8333333,0,0,May,Edge,1,Old_Visitor,false,false
0,0,0,0,1,0,0.2,0.6,May,Edge,3,Old_Visitor,false,false
0,0,0,0,1,0,0.2,0,May,Mozilla,3,Old_Visitor,true,false
0,0,0,0,12,265.1666667,0.011111111,0.2,May,Edge,1,Old_Visitor,false,false
0,0,0,0,2,29,0,1,May,Brave,4,Old_Visitor,true,false
0,0,0,0,4,160,0,0,May,Edge,2,Old_Visitor,false,false
0,0,0,0,4,135.6666667,0.05,0.4,May,Opera,1,Old_Visitor,false,false
0,0,0,0,1,0,0.2,0.2,May,Brave,1,Old_Visitor,false,false
0,0,0,0,1,0,0.2,0.6,May,Edge,3,Old_Visitor,false,false
4,56,2,120,36,998.7416667,0,0.2,May,Edge,4,Old_Visitor,false,false
0,0,0,0,4,104,0,0.4,May,DuckDuckGo,6,Old_Visitor,false,false
2,16,0,0,16,381.6865079,0.011764706,0.6,May,Brave,2,Old_Visitor,false,false
0,0,0,0,6,169,0,0.4,May,Mozilla,3,Old_Visitor,false,false
0,0,0,0,8,400.8,0.05,0,May,Mozilla,1,Old_Visitor,false,false
12,279.4166667,0,0,42,1553.583333,0.009,0,May,Mozilla,3,Old_Visitor,false,false
0,0,0,0,14,706.5,0,0,May,Edge,5,Old_Visitor,true,false
0,0,0,0,1,0,0.2,0,May,Edge,4,Old_Visitor,false,false
3,87.83333333,0,0,27,798.3333333,0,0.8,May,Edge,3,Old_Visitor,false,true
4,44,0,0,90,6951.972222,0.002150538,0,May,Mozilla,1,Old_Visitor,false,false
0,0,0,0,1,0,0.2,0.6,May,Edge,5,Old_Visitor,false,false
0,0,0,0,18,902,0,0,May,7,2,Old_Visitor,false,false
0,0,0,0,1,0,0.2,0.2,May,Edge,3,Old_Visitor,false,false
0,0,0,0,1,0,0.2,0,May,DuckDuckGo,1,Old_Visitor,false,false
0,0,0,0,20,197.3777778,0.025,0,May,DuckDuckGo,6,Old_Visitor,false,false
0,0,0,0,2,43,0,0.4,May,Edge,3,Old_Visitor,false,false
0,0,0,0,8,426.6666667,0,0,May,Brave,3,Old_Visitor,false,false
0,0,0,0,3,135,0,0,May,Brave,3,Old_Visitor,false,false
0,0,0,0,16,588.3333333,0,0,May,Brave,1,Old_Visitor,false,false
10,1005.666667,0,0,36,2111.341667,0.004347826,0,May,DuckDuckGo,1,Old_Visitor,false,true
0,0,0,0,2,76,0,0.6,May,Edge,3,Old_Visitor,false,false
0,0,0,0,1,0,0.2,1,May,Mozilla,1,Old_Visitor,true,false
0,0,0,0,1,0,0.2,0.4,May,Mozilla,1,Old_Visitor,false,false
0,0,0,0,7,208,0,0,May,Mozilla,1,Old_Visitor,true,false
0,0,0,0,4,270,0,0.8,May,Mozilla,1,Old_Visitor,false,false
0,0,0,0,6,39.5,0,0,May,Edge,1,Old_Visitor,false,false
0,0,0,0,12,375,0.016666667,0,May,Edge,4,Old_Visitor,false,false
0,0,0,0,1,0,0.2,0.8,May,Edge,2,Old_Visitor,true,false
0,0,0,0,1,0,0.2,0,May,Mozilla,1,Old_Visitor,false,false
0,0,0,0,7,150,0.057142857,0,May,Edge,2,Old_Visitor,false,false
0,0,0,0,3,138,0,0,May,Mozilla,1,Old_Visitor,false,false
0,0,0,0,7,337.5,0.028571429,0.4,May,Mozilla,3,Old_Visitor,false,false
0,0,0,0,19,620.0333333,0,0,May,Mozilla,4,Old_Visitor,false,false
2,36,0,0,15,168.8461538,0,0.4,May,Mozilla,1,Old_Visitor,false,false
0,0,0,0,1,0,0.2,0,May,Mozilla,1,Old_Visitor,true,false
0,0,0,0,2,52,0,0,May,Mozilla,1,Old_Visitor,false,false
0,0,0,0,13,649.25,0,0,May,Edge,1,New_Visitor,false,false
0,0,0,0,27,925.3333333,0.003703704,0.6,May,Mozilla,3,Old_Visitor,false,false
0,0,0,0,2,33,0,0.2,May,Mozilla,1,Old_Visitor,false,false
0,0,0,0,6,1566.5,0.05,0.2,May,Mozilla,1,Old_Visitor,false,false
0,0,0,0,4,105,0,0.6,May,Mozilla,1,Old_Visitor,false,false
0,0,1,0,7,50,0.038095238,0.6,May,Brave,1,Old_Visitor,false,false
0,0,0,0,16,644.2,0.004166667,0,May,Edge,3,Old_Visitor,false,false
3,18.33333333,0,0,38,2635.177778,0,0.4,May,Brave,1,Old_Visitor,false,false
4,61,0,0,19,607,0,1,May,Mozilla,7,Old_Visitor,true,true
0,0,0,0,6,415,0,0.4,May,Mozilla,3,Old_Visitor,false,false
2,31,1,16,36,2083.530952,0,0.8,May,Edge,4,Old_Visitor,false,false
3,58.5,0,0,17,281.6666667,0.007058824,0,May,Mozilla,3,Old_Visitor,false,false
0,0,0,0,2,27,0.15,0,May,Mozilla,7,Old_Visitor,false,false
0,0,1,0,9,215,0.044444444,0.8,May,Mozilla,1,Old_Visitor,false,false
0,0,0,0,12,162,0.05,0,May,Mozilla,1,Old_Visitor,false,false
0,0,0,0,2,114,0.05,0.8,May,Opera,1,Old_Visitor,false,false
6,326.25,4,94,128,5062.213753,0.000854701,0,May,Chrome,1,Old_Visitor,false,false
0,0,0,0,4,253,0,0.6,May,Edge,3,Old_Visitor,false,false
0,0,0,0,4,0,0.2,0.4,May,Edge,1,Old_Visitor,false,false
0,0,0,0,1,0,0.2,0.8,May,Mozilla,2,Old_Visitor,false,false
2,22,0,0,25,436.5,0.008,0.2,May,Brave,1,Old_Visitor,false,false
0,0,1,93,30,1045.833333,0.012903226,0.2,May,Mozilla,1,Old_Visitor,false,false
0,0,0,0,12,317.8333333,0,0,May,Mozilla,1,Old_Visitor,true,false
0,0,0,0,21,1146.333333,0,0.8,May,Edge,1,Old_Visitor,false,false
0,0,0,0,11,577,0.018181818,0.2,May,Edge,3,Old_Visitor,false,false
0,0,0,0,8,95,0,0,May,Mozilla,3,Old_Visitor,false,false
0,0,0,0,6,301.5,0,0,May,Brave,9,Old_Visitor,false,false
0,0,0,0,6,243,0,0,May,Brave,4,Old_Visitor,false,false
0,0,0,0,4,135.5,0,0.6,May,Edge,1,Old_Visitor,false,false
0,0,2,75,14,442.3333333,0,0.8,May,Mozilla,3,Old_Visitor,false,false
0,0,0,0,3,41,0,0,May,Mozilla,3,Old_Visitor,false,false
0,0,0,0,11,292.9,0.028,0,May,Brave,3,Old_Visitor,false,false
0,0,0,0,1,0,0.2,0,May,Mozilla,3,Old_Visitor,false,false
0,0,0,0,9,1238.333333,0,0.4,May,Edge,1,Old_Visitor,false,false
0,0,0,0,10,225.4666667,0,0.4,May,Mozilla,8,Old_Visitor,false,false
4,462,0,0,51,1873.216667,0,0.6,May,Edge,9,Old_Visitor,false,false
0,0,0,0,3,13,0.133333333,0,May,Brave,1,Old_Visitor,false,false
0,0,0,0,2,222,0,0,May,DuckDuckGo,1,Old_Visitor,true,false
2,20,0,0,16,214.8333333,0,0,May,Edge,1,Old_Visitor,false,false
0,0,0,0,1,0,0.2,0,May,Edge,3,Old_Visitor,false,false
0,0,0,0,6,2017.166667,0,0.8,May,Edge,4,Old_Visitor,false,false
6,111.5,0,0,26,449.0277778,0,0.6,May,Mozilla,3,Old_Visitor,false,false
0,0,0,0,6,158.1666667,0,0,May,Edge,4,Old_Visitor,false,false
0,0,0,0,9,303.6666667,0.005555556,0,May,Brave,5,Old_Visitor,false,false
0,0,0,0,3,25,0,0,May,Brave,1,Old_Visitor,false,false
0,0,0,0,2,42,0.05,0.4,May,Edge,1,Old_Visitor,false,false
4,103.625,0,0,14,1003.416667,0,0.2,May,Mozilla,3,Old_Visitor,false,false
0,0,0,0,1,0,0.2,0,May,Edge,7,Old_Visitor,false,false
0,0,0,0,9,272.5,0,0.2,May,Mozilla,6,Old_Visitor,false,false
3,19,0,0,8,344,0,0,May,Brave,2,Old_Visitor,false,false
0,0,0,0,1,0,0.2,0,May,Edge,2,Old_Visitor,false,false
0,0,1,19,10,852,0,0,May,Edge,3,Old_Visitor,false,false
0,0,0,0,3,780,0.066666667,0.4,May,Brave,1,Old_Visitor,false,false
0,0,0,0,3,1038,0,0,May,Edge,1,Old_Visitor,false,false
0,0,0,0,4,573,0,0,May,Edge,3,Old_Visitor,false,false
0,0,0,0,28,1231.233333,0.007142857,0,May,Mozilla,4,Old_Visitor,false,false
0,0,0,0,11,316.6666667,0,0.8,May,Edge,2,Old_Visitor,false,false
0,0,0,0,20,873.7365079,0.0075,0,May,Edge,1,Old_Visitor,false,false
0,0,0,0,1,0,0.2,0.4,May,Edge,3,Old_Visitor,false,false
0,0,0,0,4,16,0.1,0,May,Chrome,5,Old_Visitor,false,false
0,0,0,0,19,615,0,0.2,May,Edge,3,Old_Visitor,false,false
0,0,0,0,9,261.75,0,0,May,DuckDuckGo,1,Old_Visitor,false,false
0,0,0,0,21,615.8831169,0.033333333,0,May,Edge,2,Old_Visitor,true,false
0,0,0,0,1,0,0.2,0,May,Opera,3,Old_Visitor,true,false
0,0,0,0,6,117.5,0,0.8,May,Mozilla,1,Old_Visitor,true,false
0,0,0,0,1,0,0.2,0,May,Mozilla,1,Old_Visitor,false,false
0,0,0,0,1,0,0.2,0,May,Edge,3,Old_Visitor,false,false
0,0,0,0,23,501.6666667,0.008695652,0.6,May,Mozilla,4,Old_Visitor,false,false
2,58,2,22,31,829.1666667,0.03030303,0,May,Mozilla,1,Old_Visitor,true,false
1,9.5,0,0,23,1223,0.015217391,0,May,Mozilla,1,Old_Visitor,true,false
0,0,0,0,6,467,0,0.4,May,Mozilla,3,Old_Visitor,false,false
0,0,0,0,23,737.1666667,0.008695652,0.6,May,Edge,1,Old_Visitor,false,false
0,0,0,0,12,129,0,0,May,Mozilla,3,Old_Visitor,false,false
0,0,0,0,5,63,0,0,May,Edge,1,Old_Visitor,false,false
0,0,0,0,5,125,0.086666667,0,May,Edge,1,Old_Visitor,false,false
0,0,0,0,11,684.3333333,0.018181818,0,May,Brave,6,Old_Visitor,false,false
0,0,0,0,20,665.4722222,0,0.8,May,Edge,7,Old_Visitor,true,false
1,0,0,0,15,487.5,0,0.8,May,Mozilla,2,Old_Visitor,true,false
0,0,0,0,17,437.1666667,0.011111111,0,May,Brave,1,Old_Visitor,false,false
0,0,0,0,3,55,0.066666667,0.6,May,Mozilla,1,Old_Visitor,false,false
0,0,0,0,1,0,0.2,0.8,May,Mozilla,1,Old_Visitor,true,false
5,41.3,0,0,24,446.9277778,0,1,May,Edge,8,Old_Visitor,true,false
3,87,0,0,10,320.5,0,0,May,Mozilla,2,Old_Visitor,false,false
0,0,0,0,7,666,0,0,May,Mozilla,6,Old_Visitor,false,false
1,0,0,0,21,405.7095238,0.010743802,0,May,Mozilla,1,Old_Visitor,false,false
0,0,0,0,1,0,0.2,0,May,Edge,3,Old_Visitor,false,false
0,0,0,0,6,163.25,0.033333333,0.6,May,Mozilla,6,Old_Visitor,false,false
0,0,0,0,17,284.25,0,0,May,Edge,6,Old_Visitor,true,false
0,0,0,0,1,0,0.2,0.6,May,Edge,1,Old_Visitor,false,false
0,0,0,0,1,0,0.2,0,May,Brave,1,Old_Visitor,false,false
0,0,0,0,8,260,0.008333333,0.8,May,Edge,1,Old_Visitor,true,false
0,0,16,1210.397619,5,279.8571429,0.003174603,0,Mar,Edge,1,Old_Visitor,false,false
0,0,0,0,20,927.45,0.011111111,0,Mar,Mozilla,3,Old_Visitor,false,false
2,9,0,0,50,836.8,0,0,Mar,Edge,3,Old_Visitor,false,false
10,293.7782051,2,153,96,3283.166739,0.001960784,0,Mar,Edge,6,Old_Visitor,true,false
9,111.5,1,48.5,49,1868.819697,0,0,Mar,Edge,7,Old_Visitor,false,true
3,47,1,51,68,3008.124108,0.007142857,0,Mar,Edge,1,Old_Visitor,false,false
0,0,0,0,2,0,0.2,0,Mar,Mozilla,1,Old_Visitor,false,false
3,1226,5,3,24,3230.25,0.036190476,0,Mar,Edge,1,Old_Visitor,false,false
3,52,0,0,9,319,0,0,Mar,Mozilla,1,Old_Visitor,false,false
0,0,0,0,3,42,0,0,Mar,Edge,3,Old_Visitor,false,false
0,0,0,0,22,354.3333333,0.009090909,0,Mar,Mozilla,7,Old_Visitor,true,false
0,0,0,0,98,3556.61241,0.002061856,0,Mar,Mozilla,1,Old_Visitor,false,false
2,56,1,144,67,2563.783333,0,0,Mar,Edge,4,New_Visitor,false,true
3,112.9607843,0,0,13,3014.018519,0.013068182,0,Mar,Edge,1,Old_Visitor,false,false
0,0,0,0,17,840.2333333,0,0,Mar,Edge,9,New_Visitor,false,true
3,94,2,125,55,1970.844805,0,0,Mar,Brave,1,New_Visitor,true,true
1,32,0,0,50,2867,0,0,Mar,Edge,7,Old_Visitor,true,true
0,0,0,0,5,43,0,0,Mar,Mozilla,1,Old_Visitor,true,false
5,218,0,0,13,284.5,0,0,Mar,Mozilla,1,New_Visitor,false,false
0,0,0,0,3,133.5,0,0,Mar,Edge,1,Old_Visitor,false,false
1,119,0,0,12,297.6666667,0,0,Mar,Edge,1,Old_Visitor,false,false
3,281,0,0,16,453.75,0,0,Mar,Edge,5,New_Visitor,false,false
1,18,0,0,16,1331.75,0,0,Mar,Chrome,2,New_Visitor,false,true
2,40,0,0,5,558.5,0,0,Mar,Edge,7,New_Visitor,true,false
3,107,0,0,4,145.8333333,0,0,Mar,Edge,7,New_Visitor,false,false
0,0,0,0,8,731,0,0,Mar,Brave,1,Old_Visitor,false,false
2,49,1,127,4,188,0.033333333,0,Mar,Edge,3,Old_Visitor,false,false
0,0,0,0,14,565.3333333,0.037619048,0,Mar,DuckDuckGo,3,Old_Visitor,false,false
0,0,0,0,2,50,0,0,Mar,Edge,8,Old_Visitor,false,false
4,57,0,0,7,591,0.006666667,0,Mar,Edge,6,Old_Visitor,true,false
2,2,3,261,10,281,0,0,Mar,Edge,1,Old_Visitor,false,false
2,123,2,306.3333333,18,483.8333333,0,0,Mar,Edge,4,Old_Visitor,false,false
2,118,0,0,4,42,0,0,Mar,Edge,7,Old_Visitor,false,false
0,0,0,0,35,1192.386111,0.005714286,0,Mar,Brave,2,Old_Visitor,false,false
0,0,0,0,12,198,0.016666667,0,Mar,Edge,3,Old_Visitor,false,false
0,0,0,0,3,15,0,0,Mar,Brave,3,Old_Visitor,false,false
2,38,0,0,14,643,0,0,Mar,Edge,5,Old_Visitor,false,true
0,0,0,0,5,23,0.08,0,Mar,Edge,1,Old_Visitor,false,false
0,0,0,0,4,14,0.1,0,Mar,Edge,1,Old_Visitor,false,false
1,54,0,0,6,210.5,0,0,Mar,Edge,1,New_Visitor,false,false
1,993,0,0,28,1529.30467,0.001481481,0,Mar,Edge,4,Old_Visitor,false,false
0,0,0,0,2,19,0,0,Mar,Edge,3,Old_Visitor,true,false
5,74.25,2,84,37,1599.083333,0,0,Mar,Edge,4,Old_Visitor,false,false
0,0,0,0,9,102.5,0,0,Mar,Edge,1,Old_Visitor,false,false
0,0,0,0,16,2337,0,0,Mar,Edge,1,Old_Visitor,false,true
0,0,0,0,19,1883.5,0.010526316,0,Mar,Edge,1,Old_Visitor,false,false
2,32,0,0,50,1245.3,0.004,0,Mar,Edge,7,Old_Visitor,true,false
6,666.8333333,0,0,22,1674.583333,0,0,Mar,Edge,3,Old_Visitor,false,false
0,0,0,0,9,132,0.011111111,0,Mar,Mozilla,1,Old_Visitor,true,false
1,73,1,740,50,1434.255128,0,0,Mar,Edge,3,Old_Visitor,true,false
2,154,0,0,18,367.25,0.005263158,0,Mar,Edge,2,Old_Visitor,true,false
3,49.33333333,5,303.25,7,148.5,0,0,Mar,Edge,2,Old_Visitor,false,false
3,118.5,0,0,29,1482.210784,0.006896552,0,Mar,Edge,1,Old_Visitor,true,false
6,153.5,0,0,34,1048.492063,0.011578947,0,Mar,DuckDuckGo,1,Old_Visitor,true,false
0,0,0,0,9,478,0,0,Mar,Edge,2,Old_Visitor,true,false
0,0,0,0,16,980.25,0,0,Mar,Edge,4,Old_Visitor,false,false
8,72.25,1,21.5,51,1124.693074,0.022807018,0,Mar,Edge,2,Old_Visitor,false,false
2,24.5,0,0,22,353.1666667,0.018181818,0,Mar,Chrome,1,Old_Visitor,false,false
1,0,0,0,18,1489.083333,0.023529412,0,Mar,Edge,8,Old_Visitor,false,false
0,0,1,1220,28,2389.333333,0.016666667,0,Mar,Edge,1,Old_Visitor,true,false
0,0,0,0,7,753,0,0,Mar,Mozilla0,1,Old_Visitor,false,false
0,0,0,0,31,688.1666667,0,0,Mar,Mozilla,1,Old_Visitor,false,false
0,0,0,0,14,811,0.015384615,0,Mar,Edge,8,Old_Visitor,false,false
1,22,0,0,9,415.25,0.033333333,0,Mar,Opera,1,Old_Visitor,false,false
16,155.6313131,0,0,32,908.013456,0.005,0,Mar,Edge,3,Old_Visitor,false,true
1,21.33333333,1,235,71,2753.378571,0.012676056,0,Mar,Edge,2,Old_Visitor,true,false
2,191,1,100,46,2452.582143,0.007246377,0,Mar,Edge,9,Old_Visitor,true,false
0,0,0,0,18,5188.5,0,0,Mar,Chrome,1,Old_Visitor,false,false
0,0,0,0,2,0,0.2,0,Mar,Mozilla,1,Old_Visitor,false,false
0,0,0,0,5,57,0.08,0,Mar,Chrome,2,Old_Visitor,false,false
0,0,0,0,2,8,0,0,Mar,Edge,5,Old_Visitor,true,false
4,96.5,0,0,19,1430.659091,0.01,0,Mar,Mozilla,1,Old_Visitor,false,false
1,13,0,0,2,20,0,0,Mar,Edge,3,Old_Visitor,false,false
5,1388.75,0,0,4,1373.75,0,0,Mar,Mozilla,7,Old_Visitor,false,false
0,0,0,0,45,844.25,0,0,Mar,Mozilla,3,Old_Visitor,false,false
0,0,1,0,7,188,0,0,Mar,Edge,1,New_Visitor,false,false
3,51,0,0,14,527.375,0.015555556,0,Mar,Mozilla,6,Old_Visitor,true,false
0,0,0,0,1,0,0.2,0,Mar,Opera,5,Old_Visitor,false,false
1,158,1,64,29,1916.761905,0.006451613,0,Mar,Edge,3,Old_Visitor,true,true
0,0,0,0,9,116.3333333,0,0,Mar,Edge,1,Old_Visitor,false,false
0,0,0,0,30,397,0,0,Mar,Edge,7,Old_Visitor,false,false
0,0,0,0,63,5220.083333,0,0,Mar,Chrome,3,Old_Visitor,true,true
0,0,0,0,20,219.3333333,0,0,Mar,8,7,Old_Visitor,false,false
0,0,0,0,5,74,0,0,Mar,Edge,1,Old_Visitor,false,false
0,0,0,0,15,1559.6,0,0,Mar,Brave,1,Old_Visitor,false,false
0,0,0,0,6,236.5,0,0,Mar,Mozilla,1,Old_Visitor,true,false
1,10,0,0,14,348.6666667,0.035714286,0,Mar,Edge,1,Old_Visitor,true,false
0,0,0,0,1,0,0.2,0,Mar,Chrome,1,Old_Visitor,false,false
1,28,1,47,13,224.5,0,0,Mar,Mozilla,1,New_Visitor,false,false
4,27,0,0,42,601.7666667,0,0,Mar,Chrome,3,Old_Visitor,false,false
0,0,0,0,5,75.5,0.02,0,Mar,Mozilla,2,Old_Visitor,true,false
0,0,0,0,2,153,0,0,Mar,Chrome,6,Old_Visitor,false,false
4,15,0,0,10,197.2,0,0,Mar,Mozilla,1,Old_Visitor,true,true
0,0,0,0,18,3658.5,0.016666667,0,Mar,Edge,9,Old_Visitor,false,false
0,0,0,0,5,1162.5,0,0,Mar,Edge,2,Old_Visitor,false,false
0,0,0,0,32,556.6,0.014583333,0,Mar,Edge,3,Old_Visitor,false,false
0,0,0,0,3,41,0,0,Mar,Edge,1,Old_Visitor,true,false
0,0,0,0,11,300.0714286,0,0,Mar,Edge,1,Old_Visitor,true,true
13,1249.809524,4,205,36,1626.625433,0.010638298,0,Mar,Edge,2,Old_Visitor,false,false
0,0,0,0,6,69.25,0,0,Mar,Edge,4,Old_Visitor,false,false
2,390,0,0,10,1169.1,0.02,0,Mar,9,9,Old_Visitor,false,false
0,0,0,0,8,402,0,0,Mar,Edge,2,Old_Visitor,false,false
0,0,0,0,1,0,0.2,0,Mar,Edge,1,Old_Visitor,false,false
0,0,0,0,35,3324.333333,0.011428571,0,Mar,Edge,1,Old_Visitor,false,false
11,215.5238095,1,70,87,3037.499952,0.002150538,0,Mar,Edge,5,Old_Visitor,false,false
0,0,0,0,4,59,0,0,Mar,Mozilla,1,Old_Visitor,false,false
1,11,0,0,51,1059.253472,0.010588235,0,Mar,Edge,6,Old_Visitor,false,false
2,20,0,0,7,720,0,0,Mar,Edge,3,Old_Visitor,false,false
0,0,0,0,40,905.4856061,0.0135,0,Mar,Edge,2,Old_Visitor,false,false
0,0,0,0,1,0,0.2,0,Mar,Mozilla,1,Old_Visitor,true,false
2,8,1,14.33333333,14,603.6666667,0,0,Mar,Edge,1,Old_Visitor,false,true
0,0,0,0,13,328.9166667,0,0,Mar,Edge,1,Old_Visitor,false,true
0,0,0,0,33,778.8166667,0,0,Mar,Chrome,1,Old_Visitor,false,false
4,171.25,0,0,22,851.5595238,0.004545455,0,Mar,Edge,1,Old_Visitor,false,false
0,0,0,0,1,0,0.2,0,Mar,Mozilla,8,Old_Visitor,false,false
0,0,0,0,3,227.5,0,0,Mar,Edge,1,Old_Visitor,false,false
5,227.3333333,0,0,17,528.9,0,0,Mar,Mozilla,1,Old_Visitor,true,false
0,0,0,0,15,872.8333333,0,0,Mar,Edge,2,Old_Visitor,true,false
0,0,0,0,2,0,0.2,0,Mar,Edge,3,Old_Visitor,false,false
0,0,0,0,35,835.0666667,0.012571429,0,Mar,Edge,6,Old_Visitor,false,false
0,0,0,0,4,82.5,0,0,Mar,Edge,1,Old_Visitor,false,false
0,0,1,0,1,13,0,0,Mar,Edge,3,Old_Visitor,false,false
0,0,0,0,2,9,0,0,Mar,Edge,1,Old_Visitor,true,false
0,0,0,0,2,7,0,0,Mar,Edge,1,Old_Visitor,false,false
0,0,0,0,12,94.5,0.033333333,0,Mar,Edge,4,Old_Visitor,false,false
5,86,0,0,23,267.3,0,0,Mar,Mozilla,4,Old_Visitor,true,false
0,0,0,0,29,3312.5,0.013793103,0,Mar,Edge,1,Old_Visitor,false,false
0,0,0,0,3,75,0,0,Mar,Chrome,1,Old_Visitor,true,false
2,7,0,0,10,75,0.05,0,Mar,Edge,1,Old_Visitor,false,false
0,0,1,24,27,1547.5,0.003703704,0,Mar,Edge,1,Old_Visitor,false,false
7,186.9761905,2,40,35,1276.157071,0,0,Mar,Mozilla,6,Old_Visitor,false,false
3,138,2,136,54,2631.1,0,0,Mar,Edge,1,Old_Visitor,false,false
0,0,0,0,2,96,0,0,Mar,Mozilla,1,Old_Visitor,false,false
2,374,0,0,3,1370,0,0,Mar,Edge,1,Old_Visitor,false,false
2,61,0,0,5,97,0,0,Mar,Edge,1,Old_Visitor,false,false
1,14,0,0,46,1380.166667,0,0,Mar,Mozilla,1,Old_Visitor,false,false
1,38,0,0,23,1483.6,0.022916667,0,Mar,Edge,6,Old_Visitor,false,true
0,0,0,0,5,156,0,0,Mar,Edge,4,Old_Visitor,false,false
0,0,0,0,10,240.75,0,0,Mar,Edge,9,Old_Visitor,false,false
2,96,0,0,37,1238.5,0.005128205,0,Mar,Edge,1,New_Visitor,false,false
6,615.25,0,0,68,2524.719048,0,0,Mar,Edge,6,Old_Visitor,false,false
4,111,0,0,4,54,0,0,Mar,Edge,1,Old_Visitor,false,false
2,147,0,0,2,35,0,0,Mar,Edge,1,New_Visitor,false,false
0,0,0,0,15,175.9166667,0.013333333,0,Mar,Mozilla,1,Old_Visitor,true,false
3,53.16666667,0,0,11,263.6,0,0,Mar,Edge,1,Old_Visitor,false,false
2,58,0,0,7,101.8,0,0,Mar,Edge,8,New_Visitor,false,false
0,0,0,0,1,0,0.2,0,Mar,Edge,3,Old_Visitor,false,false
